Bank of Thailand
EC_EI_028_S2 : Tourism Indicators
(Unit: as stated)
Last Updated : 30 Sep 2025 14:30
Retrieved date : 29 Oct 2025 18:06
,,AUG 2024 r,JUL 2024 r,JUN 2024 r,MAY 2024 r,APR 2024 r,MAR 2024 r,FEB 2024 r,JAN 2024 r,DEC 2023 ,NOV 2023 ,OCT 2023 ,SEP 2023 ,AUG 2023 ,JUL 2023 ,JUN 2023 ,MAY 2023 ,APR 2023 ,MAR 2023 ,FEB 2023 ,JAN 2023 ,DEC 2022 ,NOV 2022 ,OCT 2022 ,SEP 2022 ,AUG 2022 ,JUL 2022 ,JUN 2022 ,MAY 2022 ,APR 2022 ,MAR 2022 ,FEB 2022 ,JAN 2022 ,DEC 2021 ,NOV 2021 ,OCT 2021 ,SEP 2021 ,AUG 2021 ,JUL 2021 ,JUN 2021 ,MAY 2021 ,APR 2021 ,MAR 2021 ,FEB 2021 ,JAN 2021 ,DEC 2020 ,NOV 2020 ,OCT 2020 ,SEP 2020 ,AUG 2020 ,JUL 2020 ,JUN 2020 ,MAY 2020 ,APR 2020 ,MAR 2020 ,FEB 2020 ,JAN 2020 ,DEC 2019 ,NOV 2019 ,OCT 2019 ,SEP 2019 ,AUG 2019 ,JUL 2019 ,JUN 2019 ,MAY 2019 ,APR 2019 ,MAR 2019 ,FEB 2019 ,JAN 2019 ,DEC 2018 ,NOV 2018 ,OCT 2018 ,SEP 2018 ,AUG 2018 ,JUL 2018 ,JUN 2018 ,MAY 2018 ,APR 2018 ,MAR 2018 ,FEB 2018 ,JAN 2018 ,DEC 2017 ,NOV 2017 ,OCT 2017 ,SEP 2017 ,AUG 2017 ,JUL 2017 ,JUN 2017 ,MAY 2017 ,APR 2017 ,MAR 2017 ,FEB 2017 ,JAN 2017 ,DEC 2016 ,NOV 2016 ,OCT 2016 ,SEP 2016 ,AUG 2016 ,JUL 2016 ,JUN 2016 ,MAY 2016 ,APR 2016 ,MAR 2016 ,FEB 2016 ,JAN 2016 ,DEC 2015 ,NOV 2015 ,OCT 2015 ,SEP 2015 ,AUG 2015 ,JUL 2015 ,JUN 2015 ,MAY 2015 ,APR 2015 ,MAR 2015 ,FEB 2015 ,JAN 2015 
11,   South,26.48,29.75,32.52,35.46,37.05,41.47,45.94,47.00,51.39,42.29,38.70,36.05,35.99,29.58,27.86,29.57,30.25,44.60,42.89,42.34,38.06,29.36,26.40,21.24,20.98,19.08,18.67,14.83,14.92,16.91,14.16,11.85,6.72,1.82,3.38,2.74,3.46,2.87,1.53,0.00,0.00,1.65,0.73,0.34,0.96,8.23,15.51,14.56,18.36,18.94,0.00,0.00,0.00,0.00,1.74,6.44,28.68,28.57,35.14,24.49,24.02,27.72,31.59,30.91,30.49,39.69,36.52,35.67,28.52,27.44,35.40,24.64,23.96,26.00,31.67,31.82,37.43,42.34,33.39,35.77,28.69,25.38,25.52,28.02,23.68,27.09,29.54,27.92,35.07,38.20,29.04,31.79,25.94,24.10,23.54,26.30,21.60,24.30,27.40,28.30,36.50,38.70,27.70,36.20,14.85,17.12,15.51,17.40,7.12,10.57,18.44,14.20,16.77,14.94,11.26,19.52
12,   North,2.55,5.60,6.01,6.14,8.08,11.40,21.13,33.41,48.90,36.27,19.47,10.26,11.64,7.71,5.68,7.14,10.07,12.44,19.32,30.05,33.44,29.01,26.75,17.45,17.16,16.69,12.96,13.71,15.80,19.63,18.33,21.40,14.15,12.84,1.84,0.00,0.00,0.00,0.00,0.00,0.00,2.29,3.80,1.79,1.45,13.75,17.55,12.81,11.43,12.58,0.00,0.00,0.00,0.00,0.26,3.19,35.13,35.13,39.93,22.19,18.71,19.84,20.87,25.75,22.18,27.00,41.05,42.21,40.52,40.94,47.14,24.49,21.34,20.34,21.88,27.62,23.54,40.48,39.82,43.13,34.71,36.56,33.08,24.83,21.62,21.61,20.12,26.64,22.67,35.38,39.17,40.60,32.79,30.65,25.10,21.30,20.40,18.40,19.20,29.20,31.50,36.90,39.10,36.90,20.32,13.75,13.56,10.59,6.00,5.26,6.21,7.87,7.21,11.38,15.88,19.91
13,   Northeast,3.48,3.86,5.10,6.03,6.03,10.35,11.50,20.30,25.68,23.36,12.44,6.99,10.20,6.82,6.35,6.05,9.39,10.18,18.74,25.03,28.24,22.34,21.31,16.12,15.17,13.11,11.47,9.56,11.38,14.60,13.40,17.09,8.37,7.05,3.31,0.00,0.00,0.00,0.00,0.00,0.00,3.46,5.43,1.49,0.85,5.05,8.93,7.22,5.28,5.24,0.00,0.00,0.00,0.00,1.94,8.29,14.61,15.99,16.69,23.75,18.63,16.77,14.79,13.47,10.04,9.22,14.28,13.43,14.17,13.46,15.02,22.48,23.98,25.09,25.50,16.98,5.67,7.27,15.56,12.68,13.33,13.50,12.06,13.53,8.41,5.56,5.38,5.10,4.74,4.95,15.44,10.84,11.72,10.59,9.90,10.50,6.10,5.60,5.80,6.20,5.50,4.30,14.70,11.00,2.80,2.34,4.20,2.36,1.71,1.79,1.57,2.48,1.57,2.52,2.27,3.47
14,4.  Average room rental rate  (baht : room) ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,   Total,1833.96,1895.63,1921.15,2007.94,1985.51,1923.72,1866.90,1815.72,1743.19,1691.60,1643.77,1554.81,1509.68,1447.19,1387.96,1358.93,1385.26,1433.98,1416.28,1404.88,1346.93,1266.72,1239.19,1166.89,1118.24,1086.99,1013.17,949.16,923.72,916.30,882.65,873.00,893.35,880.94,936.96,918.49,870.16,874.99,872.50,860.52,1110.59,1159.26,1136.48,1152.18,978.27,1005.17,989.03,957.69,996.48,971.68,753.72,735.51,820.30,1480.22,1682.62,1785.06,1816.02,1776.07,1681.20,1617.30,1613.60,1728.28,1643.05,1720.94,1724.11,1740.38,1838.26,1901.78,1933.58,1909.25,1813.47,1690.13,1628.93,1731.23,1624.97,1657.74,1670.90,1639.80,1656.04,1747.10,1824.07,1827.54,1786.67,1617.21,1613.57,1648.59,1612.72,1587.82,1491.99,1384.95,1480.55,1567.04,1623.84,1578.74,1586.25,1514.20,1453.70,1509.00,1519.40,1468.50,1309.00,1311.00,1343.80,1432.80,1255.16,1129.09,1289.91,1218.54,1111.55,1114.94,1167.35,1200.35,1258.35,1237.30,1261.91,1216.94
16,   Central (including Bangkok),2056.41,2101.60,2105.32,2183.75,2130.71,2034.89,1918.82,1851.71,1782.55,1744.02,1700.07,1614.67,1550.07,1500.86,1443.13,1396.91,1344.83,1396.96,1335.12,1352.39,1293.50,1235.21,1194.35,1124.06,1086.60,1066.71,1023.74,944.51,916.22,894.81,896.97,891.87,930.41,935.64,932.56,970.51,965.05,944.76,939.47,961.24,1215.82,1264.89,1226.32,1259.34,1105.22,1126.66,1141.41,1018.50,1066.34,943.55,768.55,739.45,1020.26,1500.67,1597.11,1682.79,1708.99,1736.87,1684.93,1623.72,1559.31,1728.94,1627.02,1678.06,1687.88,1700.20,1745.53,1786.53,1744.43,1741.62,1722.96,1575.42,1574.38,1695.29,1649.93,1671.38,1713.67,1682.83,1656.04,1678.91,1607.04,1641.46,1668.79,1488.45,1436.40,1625.37,1612.02,1638.72,1494.64,1466.85,1588.17,1569.02,1390.86,1356.54,1383.54,1391.30,1401.40,1406.10,1473.10,1575.70,1556.70,1541.80,1524.50,1510.80,1374.31,1275.68,1395.75,1304.66,1323.08,1301.45,1315.62,1324.16,1368.99,1393.72,1337.68,1433.04
17,   South,2350.06,2446.86,2523.87,2628.48,2568.41,2507.45,2407.29,2281.85,2186.54,2122.22,2082.27,1977.61,1944.60,1877.44,1801.08,1753.08,1839.47,1913.41,1830.26,1775.07,1690.51,1578.98,1554.10,1469.67,1398.23,1338.65,1244.47,1146.58,1077.32,1056.41,1032.58,1016.83,1038.55,941.54,1133.33,1050.22,930.67,948.65,928.21,849.26,1149.74,1211.75,1211.92,1212.26,993.01,1061.31,1022.20,1062.54,1155.65,1187.98,903.58,904.04,883.94,1867.27,2153.80,2297.88,2674.07,2706.06,2248.08,2159.22,2193.28,2312.21,2213.50,2153.43,2246.29,2197.25,2370.62,2502.87,2726.33,2689.19,2521.43,2391.66,2270.52,2401.41,2153.29,2098.71,2061.46,2007.77,2193.97,2210.06,2747.87,2720.04,2603.36,2424.32,2396.55,2293.49,2188.50,2143.36,2080.93,1783.29,1882.46,2050.67,2430.87,2444.58,2423.95,2337.80,2303.20,2196.30,2055.00,1987.30,1988.30,1859.00,1766.30,1871.20,1951.68,1506.49,1731.89,1743.73,1521.88,1542.02,1474.32,1676.41,1783.24,1820.28,1921.05,1713.78
18,   North,1357.15,1406.65,1446.90,1493.42,1555.11,1517.75,1603.13,1671.17,1590.54,1523.50,1448.68,1364.58,1317.96,1227.11,1159.59,1186.69,1275.24,1302.10,1419.48,1400.51,1372.91,1279.21,1261.18,1158.59,1102.17,1077.76,976.94,962.54,918.18,955.23,921.41,895.59,851.24,858.32,811.82,766.24,692.18,736.04,736.98,760.39,910.40,968.55,907.89,907.83,917.53,923.27,885.02,886.69,844.77,881.45,667.42,655.98,686.46,1207.88,1577.91,1711.86,1381.69,1330.32,1200.82,1127.26,1169.48,1255.31,1271.07,1559.82,1445.70,1597.24,1738.41,1739.32,1360.44,1325.05,1264.85,1079.36,1074.03,1147.87,1087.99,1368.39,1429.92,1432.25,1557.06,1655.96,1278.41,1278.14,1243.95,1054.11,1037.44,1043.37,1049.31,973.94,913.01,1101.50,1213.30,1490.36,1197.95,1067.55,1030.98,940.40,811.50,845.70,759.90,823.00,795.80,925.40,980.50,1197.30,967.27,937.25,1296.38,1069.82,811.18,831.24,1105.23,1064.66,1185.18,1003.36,1075.63,1038.00
19,   Northeast,782.95,830.04,882.52,909.36,937.77,932.20,938.57,931.14,907.88,868.58,828.83,757.11,739.71,688.66,672.01,655.59,681.99,697.06,758.35,773.05,734.20,679.42,669.10,655.97,635.63,625.07,547.59,530.65,499.38,478.41,481.02,493.05,547.38,535.08,598.77,565.50,527.97,560.15,560.25,546.31,767.40,754.31,786.58,786.95,691.16,683.51,642.62,612.30,603.15,597.68,471.66,368.35,338.89,768.49,825.02,859.57,892.82,894.26,859.48,829.71,837.72,825.57,813.78,859.84,806.15,844.82,832.64,907.83,917.59,901.62,810.31,824.89,822.67,824.59,831.23,820.99,809.95,795.42,828.90,874.88,848.64,849.17,757.31,798.30,837.11,817.26,801.58,790.94,781.38,740.43,761.58,823.23,776.81,778.67,771.40,784.70,769.00,772.30,716.60,793.30,816.50,765.90,745.30,762.60,727.36,796.94,735.62,755.94,790.04,785.06,774.21,736.15,695.97,731.83,713.28,682.95
20,5.  Share of revenue from conference/seminar package to total revenue  (percent) ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
